Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,,462.125,,0,TSQL,88.5,69.3,23,NN,FM,5,,,,,
2,,462.225,,0,,88.5,88.5,23,NN,FM,5,,,,,
3,,462.325,,0,,88.5,88.5,23,NN,FM,5,,,,,
4,,462.425,,0,TSQL,88.5,103.5,23,NN,NFM,5,,,,,
5,,462.525,,0,TSQL,88.5,114.8,23,NN,FM,5,,,,,
6,,462.625,,0,TSQL,88.5,127.3,23,NN,FM,5,,,,,
7,,462.725,,0,TSQL,88.5,136.5,23,NN,FM,5,,,,,
8,,462.825,,0,TSQL,88.5,162.2,23,NN,FM,5,,,,,
9,,462.925,,0,DTCS,88.5,88.5,23,NN,FM,5,,,,,
10,,463.025,,0,DTCS,88.5,88.5,23,NN,FM,5,,,,,
11,,463.125,,0,DTCS,88.5,88.5,23,NN,FM,5,,,,,
12,,463.225,,0,DTCS,88.5,88.5,23,RR,FM,5,,,,,
13,,463.525,,0,DTCS,88.5,88.5,23,RR,FM,5,,,,,
14,,450.225,,0,DTCS,88.5,88.5,23,NN,FM,5,,,,,
15,,460.325,,0,,88.5,88.5,23,NN,FM,5,,,,,
16,,469.95,,0,TSQL,88.5,203.5,23,NN,FM,5,,,,,
