Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,BFT1-01,437.15,,0,TSQL,69.3,69.3,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
2,BFT1-02,439.25,,0,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
3,BFT1-03,441.75,,0,TSQL,151.4,151.4,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
4,BFT1-04,443.45,,0,TSQL,203.5,203.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
5,BFT1-05,445.55,,0,TSQL,241.8,241.8,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
6,BFT1-06,447.65,,0,DTCS,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
7,BFT1-07,449.75,,0,DTCS,88.5,88.5,114,NN,114,Tone->Tone,FM,5,,4.0W,,,,,
8,BFT1-08,438.65,,0,DTCS,88.5,88.5,205,NN,205,Tone->Tone,FM,5,,4.0W,,,,,
9,BFT1-09,442.35,,0,DTCS,88.5,88.5,306,NN,306,Tone->Tone,FM,5,,4.0W,,,,,
10,BFT1-10,444.65,,0,DTCS,88.5,88.5,411,NN,411,Tone->Tone,FM,5,,4.0W,,,,,
11,BFT1-11,446.55,,0,DTCS,88.5,88.5,503,NN,503,Tone->Tone,FM,5,,4.0W,,,,,
12,BFT1-12,448.55,,0,DTCS,88.5,88.5,606,NN,606,Tone->Tone,FM,5,,4.0W,,,,,
13,BFT1-13,452.425,,0,DTCS,88.5,88.5,703,NN,703,Tone->Tone,FM,5,,4.0W,,,,,
