Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MFRS-01,462.5625,,0,TSQL,67,67,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
2,MFRS-02,462.5875,,0,TSQL,71.9,71.9,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
3,MFRS-03,462.6125,,0,TSQL,74.4,74.4,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
4,MFRS-04,462.6375,,0,TSQL,77,77,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
5,MFRS-05,462.6625,,0,TSQL,79.7,79.7,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
6,MFRS-06,462.6875,,0,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
7,MFRS-07,462.7125,,0,TSQL,85.4,85.4,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
8,MFRS-08,467.5625,,0,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
9,MFRS-09,467.5875,,0,TSQL,91.5,91.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
10,MFRS-10,467.6125,,0,TSQL,94.8,94.8,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
11,MFRS-11,467.6375,,0,TSQL,97.4,97.4,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
12,MFRS-12,467.6625,,0,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
13,MFRS-13,467.6875,,0,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
14,MFRS-14,467.7125,,0,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
