Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,NAVAL1,156.050000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
2,NAVAL2,156.100000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
3,NAVAL3,156.150000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
4,NAVAL4,156.200000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
5,NAVAL5,156.250000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
6,NAVAL6,156.300000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
7,NAVAL7,156.350000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
8,NAVAL8,156.400000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
9,NAVAL9,156.450000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
10,NAVAL10,156.500000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
11,NAVAL11,156.550000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
12,NAVAL12,156.600000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
13,NAVAL13,156.650000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
14,NAVAL14,156.700000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
15,NAVAL15,156.750000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
16,NAVAL16,156.800000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
17,NAVAL17,156.850000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
18,NAVAL18,156.900000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
19,NAVAL19,156.950000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
20,NAVAL20,157.000000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
21,NAVAL21,157.050000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
22,NAVAL22,157.100000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
23,NAVAL23,157.150000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
24,NAVAL24,157.200000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
25,NAVAL25,157.250000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
26,NAVAL26,157.300000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
27,NAVAL27,157.350000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
28,NAVAL28,157.000000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
60,NAVAL60,156.025000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
61,NAVAL61,156.075000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
62,NAVAL62,156.125000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
63,NAVAL63,156.175000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
64,NAVAL64,156.225000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
65,NAVAL65,156.275000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
66,NAVAL66,156.325000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
67,NAVAL67,156.375000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
68,NAVAL68,156.425000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
69,NAVAL69,156.475000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
70,NAVAL70,156.525000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
71,NAVAL71,156.575000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
72,NAVAL72,156.625000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
73,NAVAL73,156.675000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
74,NAVAL74,156.725000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
75,NAVAL75,156.775000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
76,NAVAL76,156.825000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
77,NAVAL77,156.875000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
78,NAVAL78,156.925000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
79,NAVAL79,156.975000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
80,NAVAL80,157.025000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
81,NAVAL81,157.075000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
82,NAVAL82,157.125000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
83,NAVAL83,157.175000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
84,NAVAL84,157.225000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
85,NAVAL85,157.275000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
86,NAVAL86,157.325000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
87,NAVAL87,157.375000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
88,NAVAL88,157.425000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
