Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,TALK01,462.562500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
2,TALK02,462.587500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
3,TALK03,462.612500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
4,TALK04,462.637500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
5,TALK05,462.662500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
6,TALK06,462.687500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
7,TALK07,462.712500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
8,TALK08,467.562500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
9,TALK09,467.587500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
10,TALK10,467.612500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
11,TALK11,467.637500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
12,TALK12,467.662500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
13,TALK13,467.687500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
14,TALK14,467.712500,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
15,TALK15,462.550000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
16,TALK16,462.575000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
17,TALK17,462.600000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
18,TALK18,462.625000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
19,TALK19,462.650000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
20,TALK20,462.675000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
21,TALK21,462.700000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
22,TALK22,462.725000,,0.000000,,88.5,88.5,23,NN,FM,5.00,,,,,
